brand,name,slug,category,imageKey,provider_product_name,provider_source_raw,provider_price_cop,provider_ml,provider_gender,match_confidence
"Armaf","M6294015189599 White Xl 3 Ezgif.com Webp To Jpg Converter",armaf-m6294015189599-white-xl-3-ezgifcom-webp-to-jpg-converter,"decants",products/armaf/m6294015189599-white-xl-3-ezgifcom-webp-to-jpg-converter/01.jpg,"odyssey white edition","AARMAF - ODYSSEY WHITE EDITION200ML - 3.4 OZM $ 300.000",300000,200,male,0.78
"Armaf","Product 17270 Ezgif.com Webp To Jpg Converter",armaf-product-17270-ezgifcom-webp-to-jpg-converter,"decants",products/armaf/product-17270-ezgifcom-webp-to-jpg-converter/01.jpg,"club de nuit precieux","AARMAF - CLUB DE NUIT PRECIEUX100ML - 3.4 OZM $ 340.000",340000,100,male,0.73
"Lattafa","Afeef",lattafa-afeef,"decants",products/lattafa/afeef/01.jpg,"afee","LATTAFA - AFEEF100ML - 3.3 OZF $ 350.000",350000,100,female,0.86
"Lattafa","Badee Al Oud Amethyst",lattafa-badee-al-oud-amethyst,"decants",products/lattafa/badee-al-oud-amethyst/01.jpg,"badee al oud","LLATTAFA - BADEE AL OUD100ML - 3.4 OZUNISEX $ 250.000",250000,100,unisex,0.73
"Lattafa","Badee Al Oud Noble Blush",lattafa-badee-al-oud-noble-blush,"decants",products/lattafa/badee-al-oud-noble-blush/01.jpg,"badee al oud","LLATTAFA - BADEE AL OUD100ML - 3.4 OZUNISEX $ 250.000",250000,100,unisex,0.73
"Lattafa","Badee Al Oud Sublime",lattafa-badee-al-oud-sublime,"decants",products/lattafa/badee-al-oud-sublime/01.jpg,"badee al oud","LLATTAFA - BADEE AL OUD100ML - 3.4 OZUNISEX $ 250.000",250000,100,unisex,0.73
"Lattafa","Haya",lattafa-haya,"",products/lattafa/haya/01.jpg,"haya","LLATTAFA - HAYA100ML - 3.4 OZF $ 250.000",250000,100,female,0.86
"Lattafa","Musamam White",lattafa-musamam-white,"decants",products/lattafa/musamam-white/01.jpg,"musamam black","LLATTAFA - MUSAMAM BLACK100ML - 3.4 OZM $ 340.000",340000,100,male,0.73
"Lattafa","Yara Candy",lattafa-yara-candy,"",products/lattafa/yara-candy/01.jpg,"set lattafa yara","LLATTAFA - SET LATTAFA YARA4 LOCIONESF $ 300.000",300000,,female,0.86
"Lattafa","Yara Moi",lattafa-yara-moi,"decants",products/lattafa/yara-moi/01.jpg,"set lattafa yara","LLATTAFA - SET LATTAFA YARA4 LOCIONESF $ 300.000",300000,,female,0.73
