brand,brand_slug,raw_name,display_name,product_slug,local_image_key,source
Armaf,armaf,ODYSSEYMANDARINSKYVINTAGEEDITION2,ODYSSEYMANDARINSKYVINTAGEEDITION2,odysseymandarinskyvintageedition2,products/armaf/odysseymandarinskyvintageedition2/01.jpg,local-assets
Armaf,armaf,Q-106DCLUBDENUITINTENSE_M_FIF_35eb8c44-1c07-4d2a-8164-6e4f1b2b8b41,Q 106DCLUBDENUITINTENSE M FIF,q-106dclubdenuitintense-m-fif,products/armaf/q-106dclubdenuitintense-m-fif/01.jpg,local-assets
Armaf,armaf,Untitleddesign-2025-10-24T235342.652,Untitleddesign 2025 10 24T235342.652,untitleddesign-2025-10-24t235342652,products/armaf/untitleddesign-2025-10-24t235342652/01.jpg,local-assets
Armaf,armaf,Untitleddesign_71,Untitleddesign,untitleddesign,products/armaf/untitleddesign/01.jpg,local-assets
Armaf,armaf,armafbeach,Armafbeach,armafbeach,products/armaf/armafbeach/01.jpg,local-assets
Armaf,armaf,armafislandbliss,Armafislandbliss,armafislandbliss,products/armaf/armafislandbliss/01.jpg,local-assets
Armaf,armaf,edit-15_1,Edit 15,edit-15,products/armaf/edit-15/01.jpg,local-assets
Armaf,armaf,image-2023-05-04T091929.691_a7f76f3e-815b-4295-b8d9-6f89d78f1795,Image 2023 05 04T091929.691,image-2023-05-04t091929691,products/armaf/image-2023-05-04t091929691/01.jpg,local-assets
Armaf,armaf,image-2023-05-04T112339.859,Image 2023 05 04T112339.859,image-2023-05-04t112339859,products/armaf/image-2023-05-04t112339859/01.jpg,local-assets
Armaf,armaf,image,Image,image,products/armaf/image/01.jpg,local-assets
Armaf,armaf,m6294015189599_white_xl_3-ezgif.com-webp-to-jpg-converter,M6294015189599 White Xl 3 Ezgif.com Webp To Jpg Converter,m6294015189599-white-xl-3-ezgifcom-webp-to-jpg-converter,products/armaf/m6294015189599-white-xl-3-ezgifcom-webp-to-jpg-converter/01.jpg,local-assets
Armaf,armaf,odyssey-homme-6.8,Odyssey Homme 6.8,odyssey-homme-68,products/armaf/odyssey-homme-68/01.jpg,local-assets
Armaf,armaf,product-17270-ezgif.com-webp-to-jpg-converter,Product 17270 Ezgif.com Webp To Jpg Converter,product-17270-ezgifcom-webp-to-jpg-converter,products/armaf/product-17270-ezgifcom-webp-to-jpg-converter/01.jpg,local-assets
Arsenal y gotas de color,arsenal-y-gotas-de-color,ArsenalGrey,Arsenalgrey,arsenalgrey,products/arsenal-y-gotas-de-color/arsenalgrey/01.jpg,local-assets
Arsenal y gotas de color,arsenal-y-gotas-de-color,gotas-de-color-agata-ruiz,Gotas De Color Agata Ruiz,gotas-de-color-agata-ruiz,products/arsenal-y-gotas-de-color/gotas-de-color-agata-ruiz/01.jpg,local-assets
