brand,name,slug,category,price,stock,image_url,source
"Carolina Herrera","Carolina Herrera Bad Boy Elixir",carolina-herrera-carolina-herrera-bad-boy-elixir,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/CarolinaHerreraBadBoyElixir.png?v=1744747497",disfragancias
"Prada","Prada Paradoxe Virtual Flower",prada-prada-paradoxe-virtual-flower,decants,47500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/PradaParadoxeVirtualFlower.png?v=1744746169",disfragancias
"INITIO Parfums Privés","initio oud for greatness neo",initio-parfums-prives-initio-oud-for-greatness-neo,decants,85500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/OudforGreatnessNeoInitioParfumsPrives.png?v=1744745780",disfragancias
"Acqua Di Parma","Acqua di parma Yuzu",acqua-di-parma-acqua-di-parma-yuzu,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Acqua_di_parma_Yuzu.png?v=1744744751",disfragancias
"Creed","Creed Eladaria",creed-creed-eladaria,decants,130000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Creed_Eladaria.png?v=1744743848",disfragancias
"Diesel","Diesel Plus Plus set de regalo",diesel-diesel-plus-plus-set-de-regalo,,142500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Diesel_Plus_Plus_set_de_regalo.png?v=1744743319",disfragancias
"Paco Rabanne","Paco Rabanne Invictus Set de regalo",paco-rabanne-paco-rabanne-invictus-set-de-regalo-1,,427500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/paco_rabanne_invictus_set_de_regalo.jpg?v=1763141224",disfragancias
"Paco Rabanne","Paco Rabanne Phantom Set de regalo",paco-rabanne-paco-rabanne-phantom-set-de-regalo,,456000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Paco_Rabanne_Phantom_Set_de_regalo.png?v=1744742329",disfragancias
"Sospiro Perfumes","Sospiro Afgano Puro",sospiro-perfumes-sospiro-afgano-puro,decants,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Sospiro_Afgano_Puro.png?v=1744741779",disfragancias
"Atelier Materi","Atelier materi santal blond",atelier-materi-atelier-materi-santal-blond,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Atelier_materi_santal_blond.png?v=1744741159",disfragancias
"Dolce & Gabanna","Dolce gabbana Fefe",dolce-gabanna-dolce-gabbana-fefe,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/DolcegabbanaFefe.png?v=1744400363",disfragancias
"FAAN","Voyage des sens island champs elysees",faan-voyage-des-sens-island-champs-elysees,decants,23750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Voyage_des_sens_island_champs_elysees.png?v=1744399937",disfragancias
"Tubbees","Tubbees Titans Splash",tubbees-tubbees-titans-splash-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Titans_Splash.png?v=1744399403",disfragancias
"Tubbees","Tubbees Sunburst",tubbees-tubbees-sunburst-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Sunburst.png?v=1744399094",disfragancias
"Tubbees","Tubbees Strawberry Cheesecake",tubbees-tubbees-strawberry-cheesecake-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Strawberry_Cheesecake.png?v=1744398767",disfragancias
"Tubbees","Tubbees Sandbox",tubbees-tubbees-sandbox-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Sandbox.png?v=1744398444",disfragancias
"Tubbees","Tubbees Pink Sugar",tubbees-tubbees-pink-sugar-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Pink_Sugar.png?v=1744398125",disfragancias
"Tubbees","Tubbees Pacificrim",tubbees-tubbees-pacificrim-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Pacificrim.png?v=1744397751",disfragancias
"Tubbees","Tubbees Dreamy Treats",tubbees-tubbees-dreamy-treats-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Dreay_Treats.png?v=1744397320",disfragancias
"Tubbees","Tubbees Cotton Candy",tubbees-tubbees-cotton-candy-50-ml-edp,decants,19000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Tubbees_Cotton_Candy.png?v=1744396940",disfragancias
