brand,product_name,ml,gender,price_cop,source_raw
"armaf","club de nuit imperiale",100,female,270000,"AARMAF - CLUB DE NUIT IMPERIALE100ML - 3.4 OZF $ 270.000"
"armaf","beach party",105,unisex,280000,"AARMAF - BEACH PARTY105ML - 3.4 OZUNISEX $ 280.000"
"antonio-banderas","blue seduction",100,male,150000,"AANTONIO BANDERAS - BLUE SEDUCTION 100ML - 3.4 OZM $ 150.000"
"antonio-banderas","king of seduction",100,male,180000,"AANTONIO BANDERAS  - KING OF SEDUCTION100ML - 3.4 OZM $ 180.000"
"antonio-banderas","the icon",100,male,200000,"AANTONIO BANDERAS  - THE ICON 100ML - 3.4 OZM $ 200.000"
"al","haramain amber oud -gold edition",60,unisex,270000,"AAL HARAMAIN AMBER OUD -GOLD EDITION60MLUNISEX $ 270.000"
"al","haramain amber oud -gold edition",120,unisex,370000,"AAL HARAMAIN AMBER OUD -GOLD EDITION 120ML - 4.2 OZUNISEX $ 370.000"
"al","haramain amber oud -rouge",100,unisex,350000,"AAL HARAMAIN AMBER OUD -ROUGE100ML - 3.3 OZUNISEX $ 350.000"
"al-haramain-amber-oud","dubai night",100,unisex,350000,"AAL HARAMAIN AMBER OUD - DUBAI NIGHT 100ML - 3.3 OZUNISEX $ 350.000"
"al-haramain-amber-oud","acqua dubai",75,unisex,350000,"AAL HARAMAIN AMBER OUD - ACQUA DUBAI 75MLUNISEX $ 350.000"
"al-haramain-amber-oud","violeta",60,female,400000,"AAL HARAMAIN AMBER OUD - VIOLETA60MLF $ 400.000"
"al-haramain","l-venture blanche",100,male,250000,"AL HARAMAIN - L-VENTURE BLANCHE100ML - 3.3 OZM $ 250.000"
"al","haramain -l-venture",100,male,250000,"AAL HARAMAIN -L-VENTURE100ML - 3.3 OZM $ 250.000"
"al-haramain","l-venture rose",100,female,320000,"AAL HARAMAIN -  L-VENTURE ROSE100ML - 3.3 OZF $ 320.000"
"al-haramain","l-venture femme",100,female,240000,"AAL HARAMAIN -  L-VENTURE FEMME100ML - 3.3 OZF $ 240.000"
"ariana-grande","cloud",100,female,350000,"AARIANA GRANDE - CLOUD100ML - 3.4 OZF $ 350.000"
"ariana-grande","cloud",,female,430000,"AARIANA GRANDE - CLOUDSETF $ 430.000"
"ariana-grande","cloud",100,female,380000,"AARIANA GRANDE - CLOUD100ML - 3.4 OZF $ 380.000"
"ariana-grande","cloud 2.",100,female,360000,"AARIANA GRANDE - CLOUD 2.0100ML - 3.4 OZF $ 360.000"
"ariana-grande","cloud 2.0estuche (crema + splash + locion)f",,female,450000,"AARIANA GRANDE - CLOUD 2.0Estuche (Crema + Splash + Locion)F $ 450.000"
"ariana-grande","sweet candy",100,female,330000,"AARIANA GRANDE - SWEET CANDY100ML - 3.4 OZF $ 330.000"
"ariana-grande","mod blush",100,female,450000,"AARIANA GRANDE - MOD BLUSH100ML - 3.4 OZF $ 450.000"
"ariana-grande","mod vainilla",100,female,450000,"AARIANA GRANDE - MOD VAINILLA100ML - 3.4 OZF $ 450.000"
"ariana-grande","moonlight",100,female,330000,"AARIANA GRANDE - MOONLIGHT100ML - 3.4 OZF $ 330.000"
"ariana-grande","thank you next2 cremas y locion",100,female,450000,"ARIANA GRANDE - THANK YOU NEXT2 Cremas y locion 100mlF $ 450.000"
"bharara","rome rose",100,female,260000,"BBHARARA- ROME ROSE100ML - 3.4 OZF $ 260.000"
"bharara","rome rose",100,male,260000,"BBHARARA- ROME ROSE100ML - 3.4 OZM $ 260.000"
"bharara","rome extradose",100,male,260000,"BBHARARA- ROME EXTRADOSE100ML - 3.4 OZM $ 260.000"
"bharara","king parfum",100,male,420000,"BBHARARA- KING  PARFUM100ML - 3.4 OZM $ 420.000"
"bharara","king edp",100,male,320000,"BBHARARA- KING EDP100ML - 3.4 OZM $ 320.000"
"bharara","onyx",100,male,380000,"BBHARARA - ONYX100ML - 3.4 OZM $ 380.000"
"bharara","king edp set2 cremas y",,male,440000,"BBHARARA- KING EDP SET2 Cremas y 2 LocionesM $ 440.000"
"bharara","niche femme",100,male,350000,"BBHARARA- NICHE FEMME100ML - 3.4 OZM $ 350.000"
"bharara","bleu",100,male,310000,"BBHARARA- BLEU100ML - 3.4 OZM $ 310.000"
"bharara","chocolate",100,male,430000,"BBHARARA- CHOCOLATE100ML - 3.4 OZM $ 430.000"
"bharara","king solei",100,male,410000,"BBHARARA - KING SOLEI100ML - 3.4 OZM $ 410.000"
"bharara","rose",100,female,390000,"BBHARARA - ROSE100ML - 3.4 OZF $ 390.000"
"bharara","set mini",,unisex,390000,"BHARARA- SET MINI7 BHRARA MINISUNISEX $ 390.000"
"bvlgari","agua",100,male,520000,"BBVLGARI - AGUA100ML - 3.4 OZM $ 520.000"
"bvlgari","in black",100,male,480000,"BBVLGARI - IN BLACK100ML - 3.4 OZM $ 480.000"
"bvlgari","wood neroli",100,male,390000,"BBVLGARI - WOOD NEROLI100ML - 3.4 OZM $ 390.000"
"bvulgari","omnia coral",100,female,490000,"BBVULGARI - OMNIA CORAL100ML - 3.4 OZF $ 490.000"
"bvulgari","omnia crystaline",100,female,510000,"BBVULGARI - OMNIA CRYSTALINE100ML - 3.4 OZF $ 510.000"
"bvulgari","omnia amatista",100,female,490000,"BBVULGARI - OMNIA AMATISTA100ML - 3.4 OZF $ 490.000"
"bond","9 fidi",100,unisex,1350000,"B BOND 9 FIDI100ML - 3.4 OZUNISEX $ 1.350.000"
"bond","9 new york forever",100,female,1300000,"B BOND 9 NEW YORK FOREVER100ML - 3.4 OZF $ 1.300.000"
"bond","9 chez",100,male,1100000,"B BOND 9 CHEZ100ML - 3.4 OZM $ 1.100.000"
"bond","9 the scent",100,unisex,1400000,"B BOND 9 THE SCENT100ML - 3.4 OZUNISEX $ 1.400.000"
"bond","9 wall street",100,unisex,1100000,"B BOND 9 WALL STREET100ML - 3.4 OZUNISEX $ 1.100.000"
"bond","9 new york gardenia",100,female,1450000,"B BOND 9 NEW YORK GARDENIA100ML - 3.4 OZF $ 1.450.000"
"bond","9 beekman place",100,female,1450000,"BOND 9  BEEKMAN PLACE100ML - 3.4 OZF $ 1.450.000"
"bond","9 new york tribeca",100,female,1450000,"B BOND 9 NEW YORK TRIBECA100ML - 3.4 OZF $ 1.450.000"
"bond","9 new york madison square park",100,female,1200000,"B BOND 9 NEW YORK  MADISON SQUARE PARK100ML - 3.4 OZF $ 1.200.000"
"burberry","body",60,female,330000,"BBURBERRY - BODY60ML F $ 330.000"
"burberry","my burberry",100,female,520000,"BBURBERRY - MY BURBERRY100ML - 3.4 OZF $ 520.000"
"burberry","her",100,female,500000,"BBURBERRY - HER100ML - 3.4 OZF $ 500.000"
"burberry","brit",100,female,280000,"BBURBERRY - BRIT100ML - 3.4 OZF $ 280.000"
"burberry","touch",100,female,280000,"BBURBERRY - TOUCH100ML - 3.4 OZF $ 280.000"
"britnay-spears","fantasy",100,female,230000,"BBRITNAY SPEARS - FANTASY100ML - 3.4 OZF $ 230.000"
"chanel","chance chanel",100,female,950000,"CCHANEL - CHANCE CHANEL100ML - 3.4 OZF $ 950.000"
"chanel","n°",5100,female,850000,"CCHANEL - N°5100ML - 3.4 OZF $ 850.000"
"chanel","coco",100,female,800000,"CCHANEL - COCO100ML - 3.4 OZF $ 800.000"
"chanel","bleau de chanel",100,male,670000,"CCHANEL - BLEAU DE CHANEL100ML - 3.4 OZM $ 670.000"
"chanel","allure home sportm-ccalvin klein - ck one",200,unisex,280000,"CHANEL - ALLURE HOME SPORT100ML - 3.4 OZM-CCALVIN KLEIN - CK ONE200ML-6.8OZUNISEX $ 280.000"
"0ccalvin-klein","ck in2u",100,male,170000,"0CCALVIN KLEIN - CK IN2U 100MLM $ 170.000"
"calvin-klein","ck in2u",150,male,190000,"CCALVIN KLEIN - CK IN2U 150MLM $ 190.000"
"calvin-klein","ck in2u",100,female,170000,"CCALVIN KLEIN - CK IN2U100ML F $ 170.000"
"calvin-klein","ck in2u",150,female,190000,"CCALVIN KLEIN - CK IN2U150MLF $ 190.000"
"calvin-klein","eternity",100,male,280000,"CCALVIN KLEIN - ETERNITY100ML - 3.3 OZM $ 280.000"
"calvin-klein","eternity",100,female,300000,"CCALVIN KLEIN - ETERNITY100ML - 3.3 OZF $ 300.000"
"calvin-klein","ck free",100,male,240000,"CCALVIN KLEIN - CK FREE100ML - 3.3 OZM $ 240.000"
"calvin-klein","ck bee",100,unisex,250000,"CCALVIN KLEIN - CK BEE100ML - 3.3 OZUNISEX $ 250.000"
"creed","silver",100,male,1200000,"CCREED - SILVER100ML - 3.4 OZM $ 1.200.000"
"creed","aventus",100,male,1700000,"CCREED - AVENTUS100ML - 3.4 OZM $ 1.700.000"
"creed","green rish tweeed",100,male,1500000,"CCREED - GREEN RISH TWEEED100ML - 3.4 OZM $ 1.500.000"
"cartier","eau de cartier (no concentrada)",100,male,380000,"CARTIER - EAU DE CARTIER (NO CONCENTRADA)100ML - 3.4 OZM $ 380.000"
"cartier","must",100,female,480000,"CCARTIER - MUST100ML - 3.4 OZF $ 480.000"
"curve","connect",100,male,150000,"CCURVE - CONNECT100ML - 3.4 OZM $ 150.000"
"curve","crush",100,female,190000,"CCURVE - CRUSH100ML - 3.4 OZF $ 190.000"
"clinique","clinique happy",100,female,290000,"CCLINIQUE - CLINIQUE HAPPY100ML - 3.4 OZF $ 290.000"
"clinique","clinique happy",100,male,240000,"CCLINIQUE  - CLINIQUE HAPPY 100ML - 3.4 OZM $ 240.000"
"clinique","aromatic elixir",100,female,370000,"CCLINIQUE - AROMATIC ELIXIR100ML - 3.4 OZF $ 370.000"
"carolina-herrera","212 men",100,male,420000,"CCAROLINA HERRERA - 212 MEN100ML - 3.3 OZM $ 420.000"
"carolina-herrera","212 men",200,male,540000,"CCAROLINA HERRERA - 212 MEN200ML - 6.7OZM $ 540.000"
"carolina-herrera","212 men vip",100,male,390000,"CCAROLINA HERRERA - 212 MEN VIP100ML - 3.3 OZM $ 390.000"
"carolina-herrera","212 men vip",200,male,470000,"CCAROLINA HERRERA - 212 MEN VIP200ML - 6.7OZM $ 470.000"
"carolina-herrera","212 men vip black",100,male,430000,"CCAROLINA HERRERA - 212 MEN VIP BLACK100ML - 3.3 OZM $ 430.000"
"carolina-herrera","212 heroes",100,male,400000,"CCAROLINA HERRERA - 212 HEROES100ML - 3.3 OZM $ 400.000"
"carolina-herrera","ch",100,male,400000,"CAROLINA HERRERA - CH100ML - 3.3 OZM $ 400.000"
"carolina-herrera","herrera",100,male,350000,"CCAROLINA HERRERA - HERRERA100ML - 3.3 OZM $ 350.000"
"carolina-herrera","bad boy",100,male,450000,"CCAROLINA HERRERA - BAD BOY100ML - 3.3 OZM $ 450.000"
"carolina-herrera","bad boy elixir",100,male,520000,"CCAROLINA HERRERA - BAD BOY ELIXIR100ML - 3.3 OZM $ 520.000"
"carolina-herrera","bad boy cobalt",100,male,460000,"CCAROLINA HERRERA - BAD BOY COBALT100ML - 3.3 OZM $ 460.000"
"carolina-herrera","212 sexy",100,female,480000,"CCAROLINA HERRERA - 212 SEXY100ML - 3.3 OZF $ 480.000"
"carolina-herrera","212 vip rose",100,female,470000,"CCAROLINA HERRERA - 212 VIP ROSE100ML - 3.3 OZF $ 470.000"
"carolina-herrera","212 vip",100,female,420000,"CCAROLINA HERRERA - 212 VIP 100ML - 3.3 OZF $ 420.000"
"carolina-herrera","ch",100,female,420000,"CCAROLINA HERRERA - CH100ML - 3.3 OZF $ 420.000"
"carolina-herrera","good girl",100,female,650000,"CCAROLINA HERRERA - GOOD GIRL100ML - 3.3 OZF $ 650.000"
"carolina-herrera","good girl dazzling garden",100,female,650000,"CCAROLINA HERRERA - GOOD GIRL DAZZLING GARDEN 100ML - 3.3 OZF $ 650.000"
"carolina-herrera","good girl blush",100,female,590000,"CCAROLINA HERRERA - GOOD GIRL  BLUSH100ML - 3.3 OZF $ 590.000"
"carolina-herrera","good girl bombastic",100,female,590000,"CCAROLINA HERRERA - GOOD GIRL  BOMBASTIC100ML - 3.3 OZF $ 590.000"
"diesel","plus variadas",75,male,80000,"DIESEL PLUS VARIADAS75ML-2.5 OZM $ 80.000"
"dumont-paris","nitro red",100,male,290000,"DDUMONT PARIS - NITRO RED100ML - 3.3 OZM $ 290.000"
"diesel","bad diesel",100,male,310000,"DDIESEL - BAD DIESEL100ML - 3.3 OZM $ 310.000"
"devier","strong as metal",80,male,550000,"DDEVIER - STRONG AS METAL80ML M $ 550.000"
"devier","acid rain",80,male,550000,"DDEVIER - ACID RAIN 80ML M $ 550.000"
"devier","forgive us",80,male,550000,"DDEVIER - FORGIVE US80ML M $ 550.000"
"devier","seven",100,male,680000,"DDEVIER - SEVEN100MLM $ 680.000"
"dior-edt","sauvage",100,male,550000,"DDIOR EDT - SAUVAGE100ML - 3.4 OZM $ 550.000"
"dior-perfum","sauvage",100,male,830000,"DDIOR PERFUM - SAUVAGE100ML - 3.4 OZM $ 830.000"
"dior-edp","sauvage",100,male,650000,"DDIOR EDP - SAUVAGE100ML - 3.4 OZM $ 650.000"
"dior-perfum","sauvage forte",100,male,810000,"DDIOR PERFUM - SAUVAGE FORTE100ML - 3.4 OZM $ 810.000"
"dior","sauvage elixir",100,male,1150000,"DDIOR  - SAUVAGE ELIXIR100ML - 3.4 OZM $ 1.150.000"
"dior","jadore",100,female,700000,"DDIOR - JADORE100ML - 3.4 OZF $ 700.000"
"dior","miss dior",100,female,750000,"DIOR - MISS DIOR100ML - 3.4 OZF $ 750.000"
"dior","fahrenheitm-ddior - addict",100,female,680000,"DDIOR - FAHRENHEIT100ML - 3.4 OZM-DDIOR - ADDICT100ML - 3.4 OZF $ 680.000"
"dolce-gabbana","intenso",100,male,350000,"DDOLCE & GABBANA - INTENSO100ML - 3.4 OZM $ 350.000"
"dolce-gabbana","k",100,male,330000,"DDOLCE & GABBANA - K100ML - 3.3 OZM $ 330.000"
"dolce-gabbana","q",100,female,370000,"DDOLCE & GABBANA - Q100ML - 3.4 OZF $ 370.000"
"dolce-gabbana","light blue tradicional",100,female,350000,"DDOLCE & GABBANA - LIGHT BLUE TRADICIONAL100ML - 3.4 OZF $ 350.000"
"dolce-gabbana","light blue",125,male,350000,"DDOLCE & GABBANA - LIGHT BLUE125ML - 4.2 OZM $ 350.000"
"dolce-gabbana","light blue intense",100,female,400000,"DDOLCE & GABBANA - LIGHT BLUE INTENSE100ML - 3.4 OZF $ 400.000"
"dolce-gabbana","light blue the sun",100,female,350000,"DDOLCE & GABBANA - LIGHT BLUE THE SUN100ML - 3.4 OZF $ 350.000"
"dolce-gabbana","light blue capri in love",100,female,350000,"DDOLCE & GABBANA - LIGHT BLUE CAPRI IN LOVE100ML - 3.4 OZF $ 350.000"
"escada","flor de sol",100,female,300000,"EESCADA - FLOR DE SOL100ML - 3.4 OZF $ 300.000"
"0eemporio-armani","strong with you intensitly",100,female,650000,"0EEMPORIO ARMANI - STRONG WITH YOU INTENSITLY100ML - 3.4 OZF $ 650.000"
"emporio-armani","strong with you",100,female,420000,"EMPORIO ARMANI - STRONG WITH YOU100ML - 3.4 OZF $ 420.000"
"french-avenue","liquid brun",100,male,290000,"FFRENCH AVENUE - LIQUID BRUN100ML - 3.4 OZM $ 290.000"
"french-avenue","cocoa morado",100,male,310000,"FFRENCH AVENUE - COCOA MORADO100ML - 3.4 OZM $ 310.000"
"giorgio-armani","acqua di gioia",100,female,460000,"GGIORGIO ARMANI - ACQUA DI GIOIA100ML - 3.4 OZF $ 460.000"
"giorgio-armani","acqua di gio",125,male,650000,"GGIORGIO ARMANI - ACQUA DI GIO125ML M $ 650.000"
"giorgio-armani","acqua di gio profondo",100,male,650000,"GGIORGIO ARMANI - ACQUA DI GIO PROFONDO100ML - 3.4 OZM $ 650.000"
"givenchy","pour homme blue label",100,male,330000,"GGIVENCHY - POUR HOMME BLUE LABEL100ML - 3.4 OZM $ 330.000"
"givenchy","gentleman",100,male,315000,"GGIVENCHY - GENTLEMAN100ML - 3.4 OZM $ 315.000"
"guess","seductive homme blue",100,male,190000,"GGUESS - SEDUCTIVE HOMME BLUE100ML - 3.4 OZM $ 190.000"
"guess","man",100,male,150000,"GGUESS - MAN 100ML - 3.4 OZM $ 150.000"
